dataset,AutoML4Clust,Autocluster,ML2DAC,cSmartML
dim18-clusters5-instances550-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius5-imbalance1-rep11,1.8968673893857462,1.1235230676375183,0.868654378170331,1.50232747302644
dim2-clusters14-instances1500-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius3-imbalance2-rep11,0.5557388254593882,0.7079966038745806,2.3020307932751907,1.0773366063528567
dim2-clusters14-instances2500-overlap1e-06-1e-05-aspectref5-aspectmaxmin5-radius3-imbalance1-rep11,0.6376100026416734,0.917874539446061,0.7937523192163742,0.8128070398681995
dim2-clusters14-instances3500-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin3-radius1-imbalance2-rep1,0.5860557168766951,0.546796099261349,0.3117441382546407,1.2207356873608062
dim2-clusters14-instances4000-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius5-imbalance2-rep11,0.7110933502226617,1.0995582930111951,3.123461311854794,1.0744115529141838
dim2-clusters15-instances200-overlap1e-06-1e-05-aspectref3-aspectmaxmin3-radius5-imbalance1-rep1,0.39956784856429844,0.5214471340696498,0.4551248198898097,0.5579025021900457
dim2-clusters15-instances3500-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius5-imbalance2-rep11,0.5769018935476427,0.6475719027288893,2.635305326024924,2.6550270983090947
dim2-clusters16-instances1750-overlap1e-06-1e-05-aspectref3-aspectmaxmin3-radius3-imbalance2-rep1,0.4631271310017212,0.6344392338576967,0.7609889114265612,0.5488594136055024
dim2-clusters16-instances600-overlap1e-06-1e-05-aspectref5-aspectmaxmin1-radius3-imbalance2-rep11,0.5120622715908678,0.6217367283481414,1.9248274452997025,1.3554114663354009
dim2-clusters3-instances2000-overlap1e-06-1e-05-aspectref5-aspectmaxmin1-radius1-imbalance1-rep11,0.5675000730830158,0.6173509840505118,8.598794577907878,3.7384861515369856
dim2-clusters3-instances4000-overlap1e-06-1e-05-aspectref5-aspectmaxmin5-radius5-imbalance1-rep11,0.716247562826239,0.6246952001894308,2.4076764090682827,1.409788659216433
dim2-clusters4-instances2750-overlap1e-06-1e-05-aspectref5-aspectmaxmin1-radius5-imbalance2-rep11,0.5866576515464732,0.5646588255771249,0.5001782482146244,0.6850967696212491
dim2-clusters4-instances3500-overlap1e-06-1e-05-aspectref5-aspectmaxmin5-radius1-imbalance1-rep11,0.4962121223584748,0.4985337400624618,0.5286473499716097,
dim2-clusters4-instances550-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius3-imbalance1-rep4,0.4036035898652843,0.29132579539003,0.5038690823122891,0.7321718202532048
dim2-clusters5-instances4500-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius5-imbalance2-rep11,0.8872659623824584,0.42947579390238444,2.821836408186252,0.46034720910063054
dim2-clusters6-instances1750-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius5-imbalance2-rep11,0.6169122116247641,0.5374942911536084,1.256893224555217,0.6534552339354123
dim2-clusters6-instances3000-overlap1e-06-1e-05-aspectref5-aspectmaxmin5-radius1-imbalance2-rep11,0.47189113238874275,0.46225267507136913,0.4581601899093012,0.7034050658684284
dim3-clusters3-instances1750-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin5-radius3-imbalance2-rep11,0.5659798319059033,0.6888230687961912,0.4611893727636342,0.5821466659143524
dim3-clusters3-instances1750-overlap1e-06-1e-05-aspectref3-aspectmaxmin1-radius5-imbalance1-rep1,0.6201534061683577,1.0090138700388076,0.7327543764787476,1.7579810198104293
dim3-clusters3-instances200-overlap1e-06-1e-05-aspectref3-aspectmaxmin1-radius5-imbalance1-rep4,0.683797836539531,0.5062275480344179,0.5132727071534132,0.9979919854904573
dim3-clusters3-instances2000-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin5-radius3-imbalance1-rep11,0.9306743166074372,1.3308484974131614,0.4698309898173768,0.6024596980092874
dim3-clusters3-instances300-overlap1e-06-1e-05-aspectref5-aspectmaxmin5-radius5-imbalance1-rep11,0.7700378152016673,2.757261733318991,0.7002417752723619,0.8933847973432003
dim3-clusters3-instances3000-overlap1e-06-1e-05-aspectref5-aspectmaxmin1-radius3-imbalance2-rep11,0.5435292280914429,0.7144987877972216,0.767125520889083,0.8371259196756315
dim3-clusters4-instances300-overlap1e-06-1e-05-aspectref3-aspectmaxmin3-radius5-imbalance1-rep2,0.6148246100333801,0.9135367331753581,0.34768713020721864,2.0564723584068045
dim3-clusters4-instances350-overlap1e-06-1e-05-aspectref5-aspectmaxmin1-radius3-imbalance1-rep11,0.6318920632858143,0.6921263579686208,0.5389885747083621,0.5126329880972404
dim5-clusters2-instances2750-overlap1e-06-1e-05-aspectref5-aspectmaxmin5-radius3-imbalance1-rep11,1.1730359319048327,1.008497064263334,0.9875560094834236,1.2605594555344841
dim5-clusters2-instances3000-overlap1e-06-1e-05-aspectref3-aspectmaxmin1-radius3-imbalance2-rep1,1.3298218418570658,9.162123898030432,0.733032243037569,1.5986889709067758
dim5-clusters2-instances3000-overlap1e-06-1e-05-aspectref5-aspectmaxmin5-radius3-imbalance2-rep11,0.9757651147599302,1.3646200822532928,8.094393513972953,1.4339229494466377
dim5-clusters2-instances4000-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius3-imbalance1-rep11,0.8246003240978351,9.327741561653818,0.5727881041749404,0.6932977218668083
dim5-clusters2-instances4500-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin5-radius5-imbalance1-rep11,0.8673643065168108,12.211780373548116,0.6721058547620091,2.2165312390462466
dim5-clusters3-instances1500-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius1-imbalance2-rep3,1.3565706660561498,0.4836613257729625,1.526027410028015,0.8822349240501298
dim5-clusters3-instances200-overlap1e-06-1e-05-aspectref5-aspectmaxmin1-radius3-imbalance1-rep11,0.9393559380183508,0.955770172733441,3.342525453932093,0.49821711040876826
dim5-clusters3-instances350-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin5-radius3-imbalance1-rep11,0.5256124182202245,4.419546040116493,0.8925391941343948,0.9210273191286807
dim5-clusters3-instances4000-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius3-imbalance2-rep4,0.5019868783286697,0.5037382943862643,0.5050011028638421,0.9947146086988461
dim50-clusters21-instances500-overlap1e-06-1e-05-aspectref3-aspectmaxmin1-radius3-imbalance2-rep3,2.084911539342327,1.717911862647922,1.8665368727414955,1.2271291763923768
dim51-clusters15-instances2000-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin3-radius3-imbalance2-rep2,2.4515598944559915,1.6386461284374663,2.410456504597557,2.037264456103375
dim51-clusters18-instances200-overlap1e-06-1e-05-aspectref3-aspectmaxmin3-radius5-imbalance1-rep3,1.7916454345749009,1.649650312941624,1.409536310035471,0.9675478912561521
dim51-clusters20-instances400-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius1-imbalance2-rep4,1.836088362435278,0.9895233555550396,0.8631053555408664,2.2219804186932883
dim52-clusters19-instances450-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius5-imbalance2-rep3,1.8836778145491935,1.6955591234539598,1.77629465618006,1.737157833898553
dim52-clusters2-instances200-overlap1e-06-1e-05-aspectref3-aspectmaxmin3-radius5-imbalance1-rep2,1.553638409470791,2.882878396506125,0.7710346800794089,1.3097546347702793
dim52-clusters20-instances2250-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin3-radius1-imbalance1-rep4,1.2535445448429303,1.6207765359076602,1.7276966846590311,1.732677059192051
dim52-clusters20-instances450-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin3-radius5-imbalance2-rep4,1.558508961405092,2.185999920105476,1.6815397445626297,
dim52-clusters7-instances300-overlap1e-06-1e-05-aspectref3-aspectmaxmin1-radius5-imbalance2-rep3,2.4185930035630108,2.0448676900894274,2.193752921152176,
dim53-clusters11-instances1500-overlap1e-06-1e-05-aspectref3-aspectmaxmin1-radius5-imbalance1-rep2,2.911783497650843,2.0960180321289923,1.8368479937075448,1.8221961863998
dim53-clusters13-instances4500-overlap1e-06-1e-05-aspectref3-aspectmaxmin3-radius1-imbalance2-rep2,2.3889623865852423,1.68284350581745,1.985401575412292,1.663505541808105
dim53-clusters15-instances2000-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius3-imbalance1-rep3,2.8851334127190826,1.636874412219638,2.652121965154297,1.9037173725782592
dim53-clusters19-instances4500-overlap1e-06-1e-05-aspectref3-aspectmaxmin3-radius5-imbalance1-rep2,2.6627346550860604,1.8147726146045575,1.0235992918333796,1.238259730509536
