"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000187, 1, 0.000187, clustering_choice=''KMeans'', n_clusters___KMeans='5'
180.106296, 2147483647.000000, 180.123055, 1, 0.016759, clustering_choice=''KMeans'', n_clusters___KMeans='5'
360.900308, 0.337018, 361.463985, 2, 0.563677, clustering_choice=''DBSCAN'', eps___DBSCAN='4.835689263912227', min_samples___DBSCAN='25'
1624.232280, 0.334492, 1628.675896, 3, 4.443615, clustering_choice=''DBSCAN'', eps___DBSCAN='4.9890502196259', min_samples___DBSCAN='12'
