"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000219, 1, 0.000219, clustering_choice=''KMeans'', n_clusters___KMeans='5'
180.030201, 2147483647.000000, 180.051485, 1, 0.021284, clustering_choice=''KMeans'', n_clusters___KMeans='5'
184.611916, 0.554854, 184.763088, 2, 0.151172, clustering_choice=''OPTICS'', cluster_method___OPTICS=''xi'', metric___OPTICS=''euclidean'', min_samples___OPTICS='9'
554.974669, 0.485184, 556.190340, 3, 1.215672, clustering_choice=''SpectralClustering'', affinity___SpectralClustering=''nearest_neighbors'', assign_labels___SpectralClustering=''discretize'', eigen_solver___SpectralClustering=''arpack'', n_clusters___SpectralClustering='28'
1043.260032, 0.471074, 1044.952165, 4, 1.692133, clustering_choice=''SpectralClustering'', affinity___SpectralClustering=''nearest_neighbors'', assign_labels___SpectralClustering=''discretize'', eigen_solver___SpectralClustering=''arpack'', n_clusters___SpectralClustering='7'
